Month,Day,htFrom,mtFrom,hrise,mrise,hset,mset,htTo,mtTo
Jan,0,6,46,7,1,17,26,17,41
Jan,4,6,47,7,2,17,29,17,44
Jan,8,6,48,7,3,17,32,17,47
Jan,12,6,48,7,3,17,35,17,50
Jan,16,6,48,7,3,17,38,17,53
Jan,20,6,47,7,2,17,41,17,56
Jan,24,6,46,7,1,17,45,18,0
Jan,28,6,45,7,0,17,48,18,3
Feb,1,6,43,6,58,17,52,18,7
Feb,5,6,41,6,56,17,55,18,10
Feb,9,6,38,6,53,17,57,18,12
Feb,13,6,35,6,50,18,1,18,16
Feb,17,6,32,6,47,18,4,18,19
Feb,21,6,29,6,44,18,6,18,21
Feb,25,6,25,6,40,18,9,18,24
Mar,1,6,21,6,36,18,11,18,26
Mar,5,6,17,6,32,18,13,18,28
Mar,9,6,13,6,28,18,16,18,31
Mar,13,6,8,6,23,18,19,18,34
Mar,17,6,4,6,19,18,20,18,35
Mar,21,5,59,6,14,18,23,18,38
Mar,25,5,55,6,10,18,25,18,40
Mar,29,5,51,6,6,18,27,18,42
Apr,2,5,46,6,1,18,29,18,44
Apr,6,5,41,5,56,18,31,18,46
Apr,10,5,38,5,53,18,33,18,48
Apr,14,5,33,5,48,18,35,18,50
Apr,18,5,29,5,44,18,38,18,53
Apr,22,5,25,5,40,18,39,18,54
Apr,26,5,21,5,36,18,42,18,57
Apr,30,5,18,5,33,18,44,18,59
May,4,5,14,5,29,18,46,19,1
May,8,5,12,5,27,18,49,19,4
May,12,5,9,5,24,18,51,19,6
May,16,5,7,5,22,18,53,19,8
May,20,5,5,5,20,18,56,19,11
May,24,5,3,5,18,18,58,19,13
May,28,5,2,5,17,19,0,19,15
June,1,5,1,5,16,19,2,19,17
June,5,5,0,5,15,19,4,19,19
June,9,4,59,5,14,19,6,19,21
June,13,4,59,5,14,19,8,19,23
June,17,5,1,5,16,19,8,19,23
June,21,5,1,5,16,19,10,19,25
June,25,5,2,5,17,19,11,19,26
June,29,5,4,5,19,19,11,19,26
July,3,5,5,5,20,19,11,19,26
July,7,5,6,5,21,19,11,19,26
July,11,5,8,5,23,19,10,19,25
July,15,5,10,5,25,19,9,19,24
July,19,5,12,5,27,19,7,19,22
July,23,5,14,5,29,19,5,19,20
July,27,5,17,5,32,19,4,19,19
July,31,5,18,5,33,19,1,19,16
Aug,4,5,21,5,36,18,58,19,13
Aug,8,5,23,5,38,18,56,19,11
Aug,12,5,25,5,40,18,53,19,8
Aug,16,5,27,5,42,18,49,19,4
Aug,20,5,29,5,44,18,45,19,0
Aug,24,5,31,5,46,18,41,18,56
Aug,28,5,33,5,48,18,37,18,52
Sept,1,5,35,5,50,18,32,18,47
Sept,5,5,37,5,52,18,28,18,43
Sept,9,5,38,5,53,18,24,18,39
Sept,13,5,40,5,55,18,19,18,34
Sept,17,5,42,5,57,18,14,18,29
Sept,21,5,44,5,59,18,10,18,25
Sept,25,5,46,6,1,18,5,18,20
Sept,29,5,47,6,2,18,0,18,15
Oct,3,5,49,6,4,17,56,18,11
Oct,7,5,52,6,7,17,51,18,6
Oct,11,5,53,6,8,17,47,18,2
Oct,15,5,56,6,11,17,43,17,58
Oct,19,5,58,6,13,17,39,17,54
Oct,23,6,1,6,16,17,35,17,50
Oct,27,6,3,6,18,17,32,17,47
Oct,31,6,6,6,21,17,28,17,43
Nov,4,6,9,6,24,17,25,17,40
Nov,8,6,11,6,26,17,23,17,38
Nov,12,6,14,6,29,17,21,17,36
Nov,16,6,17,6,32,17,19,17,34
Nov,20,6,20,6,35,17,17,17,32
Nov,24,6,23,6,38,17,17,17,32
Nov,28,6,26,6,41,17,16,17,31
Dec,2,6,30,6,45,17,16,17,31
Dec,6,6,33,6,48,17,16,17,31
Dec,10,6,36,6,51,17,16,17,31
Dec,14,6,38,6,53,17,17,17,32
Dec,18,6,41,6,56,17,19,17,34
Dec,22,6,43,6,58,17,21,17,36
Dec,26,6,44,6,59,17,23,17,38
Dec,30,6,46,7,1,17,25,17,40
Dec,34,6,47,7,2,17,28,17,43
