Month,Day,h,m
Jan,0,7,7
Jan,4,7,9
Jan,8,7,9
Jan,12,7,9
Jan,16,7,10
Jan,20,7,9
Jan,24,7,7
Jan,28,7,7
Feb,1,7,5
Feb,5,7,2
Feb,9,7,0
Feb,13,6,57
Feb,17,6,54
Feb,21,6,51
Feb,25,6,46
Mar,1,6,43
Mar,5,6,39
Mar,9,6,34
Mar,13,6,30
Mar,17,6,25
Mar,21,6,21
Mar,25,6,17
Mar,29,6,12
Apr,2,6,7
Apr,6,6,3
Apr,10,6,0
Apr,14,5,55
Apr,18,5,51
Apr,22,5,46
Apr,26,5,43
Apr,30,5,40
May,4,5,36
May,8,5,34
May,12,5,31
May,16,5,28
May,20,5,26
May,24,5,25
May,28,5,24
June,1,5,23
June,5,5,22
June,9,5,21
June,13,5,21
June,17,5,22
June,21,5,22
June,25,5,24
June,29,5,25
July,3,5,27
July,7,5,28
July,11,5,30
July,15,5,32
July,19,5,34
July,23,5,36
July,27,5,38
July,31,5,40
Aug,4,5,43
Aug,8,5,45
Aug,12,5,46
Aug,16,5,49
Aug,20,5,51
Aug,24,5,52
Aug,28,5,55
Sept,1,5,57
Sept,5,5,58
Sept,9,6,0
Sept,13,6,1
Sept,17,6,3
Sept,21,6,5
Sept,25,6,7
Sept,29,6,9
Oct,3,6,11
Oct,7,6,13
Oct,11,6,15
Oct,15,6,17
Oct,19,6,19
Oct,23,6,22
Oct,27,6,25
Oct,31,6,28
Nov,4,6,30
Nov,8,6,33
Nov,12,6,36
Nov,16,6,39
Nov,20,6,42
Nov,24,6,45
Nov,28,6,48
Dec,2,6,51
Dec,6,6,54
Dec,10,6,57
Dec,14,6,59
Dec,18,7,2
Dec,22,7,4
Dec,26,7,6
Dec,30,7,7
Dec,34,7,9
